Id,Label,Followers,Lang
811071393072758784,asatriahtg,202,id
452992293,RamliRizal,NA,NA
181112137,no_jokowi,549,id
194987317,Dahnilanzar,NA,NA
40580714,prabowo,NA,NA
132041617,sandiuno,NA,NA
2542665199,YRadianto,5150,en
1003935463961341953,StellaSuwardi,NA,NA
366987179,jokowi,NA,NA
356084760,zerochangehero,523,id
1044085503601958913,AridaNurwijaya2,NA,NA
300640735,firdaus_henry,274,id
932122849891926016,andi_kamang,18,id
374914914,__afzch,1101,id
736940016,spesdelune,NA,NA
983987036574101505,Ahwaluddin_Nour,36,id
3262729482,ms_muammar,2397,id
404863707,tans_trisna,64,id
872295866731610112,arifinsyarif13,48,id
403957708,Siti_Tarna,NA,NA
2293669487,ratnasurya8,88,id
851719045481086976,nawan1186,48,id
1048723207782510592,NamakuMimiya,25,id
397673651,Gerindra,NA,NA
211415705,DPR_RI,NA,NA
831757560147484672,aguz07syawal,115,id
448511516,putrabanten80,NA,NA
471879398,heryanivanny,183,en
173276033,aaudrachmat,161,id
17128975,CNNIndonesia,NA,NA
728008028,DDRezhaa,26905,en
706781761,MichelaniaAdam,NA,NA
829861365997146112,czomilk,5450,en
2401792765,huvvalahumba,87,en
596558360,gunturpahlawan,25,id
982764216607162368,Reactips,NA,NA
69183155,detikcom,NA,NA
916742608763760640,Sairun_H,310,id
920493381498949632,Igedemanuke9,NA,NA
1025767867550035969,mohzen13,3,id
385881587,Cakrawala_Info,NA,NA
103517297,betoqisme_,455,id
198412976,eko_kuntadhi,NA,NA
3171713264,hasanIce_,200,id
616347306,JamalHabsy,1374,id
258784571,eae18,NA,NA
1038002482750742528,aisyah28157838,138,en
3311102678,BuruhPabrix,62,en
200144577,ko2w,NA,NA
1043723901048504322,pr1841788,956,id
68311814,Je_Ly,NA,NA
190482029,Hogwardprincipl,165,en
930720890953777153,Elang_Sutajaya1,NA,NA
2547595849,Takviri,NA,NA
913939764226646016,jumadil11akhir,90,id
187977902,Imuli,53,id
1028769912532025344,DidikKurnianto7,2,en
23343960,kompascom,NA,NA
98391831,mamayuli,576,id
1140112512,si_DikRizal,NA,NA
867272351628509184,arina_izzas,44,id
46119275,wwpra,159,en
1048857138754248705,Handoko05475409,3,id
155814891,Kings4fir,NA,NA
1053810090963136512,WeareOn88216353,1,en
953185696809807873,budi7furqan,NA,NA
1009298096533135360,winditrn,7,id
146365198,InsideErick,NA,NA
1049798166474682368,CusolinT,31,en
106034416,Rang_kurai,790,id
887127198167031808,M4rselo,62,en
995507198636707840,ErwinSitepu12,NA,NA
1350917154,Minang_cyber,NA,NA
1002362834225774594,benz_haryadi,NA,NA
2916468169,marierteman,NA,NA
248199104,PDemokrat,NA,NA
22365191,PKSejahtera,NA,NA
863650755592331265,Suka_Berkarya,NA,NA
4787817264,PolhukamRI,NA,NA
4068016160,tni_ad,NA,NA
2529057427,KodamIV,NA,NA
1676390978,BIN_Official,NA,NA
705987485797470209,edo751945,NA,NA
773748166084657152,miksgt,736,id
741288495327502336,gindoduri,125,id
618757726,kurniawan99hery,399,id
885653782452871169,wongndesobravo,NA,NA
2381818722,Herry_Mety,NA,NA
900195832007413761,preman_beriman7,548,id
3252599064,UNITEDFANS91,NA,NA
932111839453880320,kimsedoy,211,id
885782306002055168,adhiieAZ,1377,en
1052268446119952384,BragaAudi,4,en
935714908188086274,faiz55679778,251,id
120968478,Fahrihamzah,NA,NA
1012033219309400064,YBajilov,18,id
879425796997169152,TiraniEdwin,96,en
1487636400,arsul_sani,NA,NA
946008913882652672,Pasrawati1,53,id
2193875012,eL_s4ndy,390,id
1006188322987827201,Rikip28640390,16,en
47566153,fajrin_al,669,en
190679407,andre_rosiade,NA,NA
4834772592,PriaKolorIjo,1485,id
235931838,kangdede78,NA,NA
1047686462458609664,74_sarma,21,en
2837665364,SeryuJustice,44,id
239012706,daoesy,760,en
778821297107120128,JunaediNjoto,841,id
18071520,antaranews,NA,NA
74843165,LakiGarang_,733,en
94545198,indoprogress,NA,NA
2922321560,AsyifaMursalin,91,en
828474812557242368,Gerobak94ul,387,id
910334996438642689,rudiantarapamb,309,en
951426396772945921,roby_wijadja,NA,NA
965885713223892993,AkunTofa,NA,NA
213975564,maspiyuuu,NA,NA
1575141104,SurYosodipuro_,NA,NA
870849355426574336,RestyCayah,NA,NA
704900045108281347,flurrymatcha,1405,en
1035530189281718272,AmarSyariful,681,en
1027010109086490624,EkoSulistkr14b,18,id
994008693497778176,syharilaaa,NA,NA
1026042847907049472,dwinanin82377,43,id
82009511,leoyuwono,NA,NA
763533950,AbdhemaS,NA,NA
960353900816605184,Lutfi16226347,NA,NA
196467341,bang_udin19,NA,NA
988985660768796672,Istrikamu_,NA,NA
85521608,miki_angelo08,NA,NA
2786280835,TsamaraDKI,NA,NA
871333184390127616,Ermana_W,85,id
592670569,KoRnHurry,6186,id
979985819099316224,Syahban_Fadly,NA,NA
1030811717389889536,JoeAriesta3,467,id
1038648829950681089,PanritaKITTA,71,id
114697372,musniumar,NA,NA
805629166095769600,IreneViena,49703,id
955684196998983680,anggadiprnt,62,id
872068206734618624,IeIndra,1738,en
445306698,anwaripiet,151,en
966169398926086151,DichaAbi,641,id
558933247,Ary0977,NA,NA
1047424669530214400,dianovalia1,0,en
1002295620051374080,NajwaAlSaggaf,NA,NA
4780649298,Dennysiregar7,NA,NA
942943983453462530,Abimanyu9Satrio,0,en-gb
775359669283885056,BinSukamdo,NA,NA
746241503714934784,RizmaWidiono,29832,en
3008835343,sauqi_sa,18,id
3268673450,realdestiayu,NA,NA
963085489291972608,pendosahebat__,46,id
978863778879205376,tidakbermakna,NA,NA
609897891,GusPeyonk,27,id
142305302,tribunmedan,61404,en
713382563914469380,kyolaerely,80,en-GB
1001320418198798337,AsilaYuli,581,en
1029581379476967425,Boim07475277,2,id
1055650690788286465,AlvaroeLee,17,id
3321423907,putragaruda27,NA,NA
438832278,AntoniRaja,NA,NA
485571393,Jaya_Ind,319,en
191035484,roniexs,26,id
824419119248220161,eatsleepcheers,NA,NA
2519832906,MbahUyok,NA,NA
59998974,yusaksun,300,en
388651213,nofrizal81,233,id
